,cities,clouds,country,dt,humidity,lat,lon,speed,temp,temp_max
0,arraial do cabo,0,BR,1505343600,83,-22.97,-42.03,10.3,295.15,295.15
1,bolungarvik,0,IS,1505347302,100,66.08,-23.12,1.16,274.195,274.195
2,tidore,92,ID,1505347302,100,0.78,127.37,2.96,299.095,299.095
3,shubarkuduk,0,KZ,1505347303,72,49.14,56.49,1.51,282.445,282.445
4,awbari,0,LY,1505347303,26,26.59,12.78,5.41,299.945,299.945
5,hobart,75,AU,1505341800,52,-42.88,147.33,8.7,281.15,281.15
6,airai,68,IN,1505346792,98,25.35,82.47,0.91,296.445,296.445
7,abu kamal,0,EG,1505345400,78,30.06,31.25,5.1,299.15,299.15
8,hermanus,8,ZA,1505346191,94,-34.42,19.23,0.41,276.545,276.545
9,coquimbo,0,CL,1505343600,76,-29.95,-71.34,3.6,285.15,285.15
10,saint-augustin,0,CA,1505347303,84,51.23,-58.65,6.11,287.395,287.395
11,clyde river,90,CA,1505346540,100,70.47,-68.59,6.2,274.15,274.15
12,atuona,0,PF,1505346066,100,-9.8,-139.03,4.96,299.095,299.095
13,rabo de peixe,40,PT,1505345400,78,37.8,-25.58,3.1,295.15,295.15
14,georgetown,20,GY,1505343600,88,6.8,-58.16,3.1,300.15,300.15
15,longhua,8,CN,1505347304,94,23.61,114.19,1.51,298.495,298.495
16,afua,0,BR,1505347253,89,-0.16,-50.39,5.86,301.595,301.595
17,conway,1,US,1505345700,54,35.09,-92.44,1.16,300.55,301.15
18,bluff,76,NZ,1505346206,100,-46.6,168.33,3.56,283.645,283.645
19,galgani,90,FR,1505345400,93,44.48,2.23,2.1,288.15,288.15
20,vaini,40,TO,1505343600,64,-21.2,-175.2,4.1,297.15,297.15
21,shchebetovka,0,UA,1505347304,95,44.93,35.15,5.61,294.595,294.595
22,cape town,20,ZA,1505343600,93,-33.93,18.42,2.1,283.15,283.15
23,rikitea,80,PF,1505346193,100,-23.12,-134.97,4.56,294.845,294.845
24,rikitea,80,PF,1505346193,100,-23.12,-134.97,4.56,294.845,294.845
25,paluan,88,PH,1505347305,100,13.42,120.46,4.26,298.345,298.345
26,kilosa,44,TZ,1505347305,79,-6.83,36.98,2.26,291.345,291.345
27,marsa matruh,20,EG,1505343600,73,31.35,27.25,4.6,298.15,298.15
28,puerto ayora,40,EC,1505343600,73,-0.74,-90.35,8.2,295.15,295.15
29,east london,20,ZA,1505346858,100,-33.02,27.91,9.31,291.145,291.145
30,illoqqortoormiut,0,IT,1505344800,77,41.9,12.49,2.1,290.55,292.15
31,elizabeth city,1,US,1505346900,88,36.29,-76.25,1.5,297.52,301.15
32,pevek,80,RU,1505346866,100,69.7,170.31,10.51,276.045,276.045
33,kaitangata,92,NZ,1505346514,99,-46.23,169.75,3.11,282.595,282.595
34,albany,75,US,1505343240,57,42.65,-73.76,2.6,293.84,297.15
35,busselton,20,AU,1505346191,100,-33.65,115.33,3.11,285.045,285.045
36,waipawa,0,NZ,1505345400,77,-41.41,175.52,10.8,289.15,289.15
37,tuktoyaktuk,75,CA,1505343600,55,69.45,-133.04,5.1,289.15,289.15
38,guerrero negro,12,MX,1505347306,65,27.98,-114.06,5.56,298.745,298.745
39,yellowknife,75,CA,1505343600,61,62.46,-114.35,3.1,281.15,281.15
40,uni,0,RU,1505347306,84,57.75,51.49,4.56,286.545,286.545
41,tuktoyaktuk,75,CA,1505343600,55,69.45,-133.04,5.1,289.15,289.15
42,busselton,20,AU,1505346191,100,-33.65,115.33,3.11,285.045,285.045
43,hobart,75,AU,1505341800,52,-42.88,147.33,8.7,281.15,281.15
44,hermanus,8,ZA,1505346191,94,-34.42,19.23,0.41,276.545,276.545
45,tamale,24,GH,1505347306,79,9.4,-0.84,3.16,299.395,299.395
46,hermanus,8,ZA,1505346191,94,-34.42,19.23,0.41,276.545,276.545
47,barentsburg,0,DE,1505344800,76,52.62,8.8,6.2,285.15,285.15
48,arman,0,RU,1505345400,34,59.7,150.17,4.0,282.15,282.15
49,jamestown,75,US,1505343360,77,42.1,-79.24,2.1,294.85,295.15
50,cape town,20,ZA,1505343600,93,-33.93,18.42,2.1,283.15,283.15
51,krasnoarmeyskiy,0,RU,1505347307,64,47.01,42.21,2.91,292.395,292.395
52,taolanaro,0,MG,1505343600,77,-25.02,46.97,6.2,294.15,294.15
53,vaini,40,TO,1505343600,64,-21.2,-175.2,4.1,297.15,297.15
54,cap malheureux,75,MU,1505343600,56,-19.98,57.61,3.1,296.15,296.15
55,fortuna,1,US,1505345700,63,40.6,-124.16,6.7,290.15,290.15
56,nikolskoye,75,RU,1505343600,100,59.68,30.67,2.0,286.15,286.15
57,naze,75,JP,1505343600,79,28.37,129.48,8.7,304.15,304.15
58,punta arenas,75,CL,1505343600,80,-53.15,-70.92,10.8,274.15,274.15
59,rikitea,80,PF,1505346193,100,-23.12,-134.97,4.56,294.845,294.845
60,bluff,76,NZ,1505346206,100,-46.6,168.33,3.56,283.645,283.645
61,sitka,75,US,1505343360,62,57.05,-135.33,3.6,286.97,288.15
62,yialos,0,GR,1505344800,78,35.23,23.68,2.1,295.15,295.15
63,husavik,0,IS,1505343600,100,66.04,-17.34,6.01,278.15,278.15
64,lokosovo,92,RU,1505347308,84,61.13,74.82,4.51,278.245,278.245
65,poum,0,NC,1505346492,98,-20.23,164.02,5.26,296.695,296.695
66,hasaki,75,JP,1505344800,83,35.73,140.83,2.1,296.63,297.15
67,victoria,1,CA,1505345700,72,48.43,-123.37,2.1,291.68,294.15
68,asau,0,RO,1505345400,67,46.43,26.4,4.1,289.15,289.15
69,taoudenni,88,ML,1505347308,12,22.68,-3.98,3.56,306.345,306.345
70,tessalit,32,ML,1505347309,21,20.2,1.01,1.31,300.945,300.945
71,port alfred,36,ZA,1505346201,90,-33.59,26.89,5.86,288.995,288.995
72,mataura,24,IN,1505346190,96,27.5,77.68,1.36,296.095,296.095
73,nicolae balcescu,0,RO,1505345400,67,46.47,26.92,4.1,289.15,289.15
74,mataura,24,IN,1505346190,96,27.5,77.68,1.36,296.095,296.095
75,ninghai,20,CN,1505343600,65,29.29,121.42,3.0,298.15,298.15
76,ambilobe,0,MG,1505346815,65,-13.2,49.05,4.11,293.145,293.145
77,cape town,20,ZA,1505343600,93,-33.93,18.42,2.1,283.15,283.15
78,comodoro rivadavia,20,AR,1505343600,87,-45.87,-67.5,8.31,280.15,280.15
79,broome,0,AU,1505345400,31,-17.97,122.23,5.7,298.15,298.15
80,port elizabeth,0,ZA,1505343600,67,-33.92,25.57,6.2,288.15,288.15
81,vaini,40,TO,1505343600,64,-21.2,-175.2,4.1,297.15,297.15
82,lorengau,88,PG,1505347310,100,-2.02,147.27,2.06,299.945,299.945
83,nanortalik,92,GL,1505347310,90,60.14,-45.24,9.61,277.045,277.045
84,atuona,0,PF,1505346066,100,-9.8,-139.03,4.96,299.095,299.095
85,busselton,20,AU,1505346191,100,-33.65,115.33,3.11,285.045,285.045
86,tlahualilo,5,MX,1505342580,12,26.12,-103.45,0.66,308.15,308.15
87,kang,0,BW,1505347310,46,-23.68,22.79,1.61,286.345,286.345
88,port lincoln,76,AU,1505347311,88,-34.73,135.87,7.81,287.295,287.295
89,georgetown,20,GY,1505343600,88,6.8,-58.16,3.1,300.15,300.15
90,taolanaro,0,MG,1505343600,77,-25.02,46.97,6.2,294.15,294.15
91,castro,0,BR,1505346198,63,-24.79,-50.01,2.56,290.895,290.895
92,san quintin,0,MX,1505347311,54,30.48,-115.95,3.31,298.945,298.945
93,ostrovnoy,92,RU,1505346835,99,68.05,39.51,9.61,278.445,278.445
94,sumkino,80,RU,1505347311,84,58.11,68.32,3.16,279.995,279.995
95,bluff,76,NZ,1505346206,100,-46.6,168.33,3.56,283.645,283.645
96,karachi,75,PK,1505345100,74,24.91,67.08,5.7,300.15,300.15
97,ushuaia,40,AR,1505343600,55,-54.8,-68.3,5.7,275.6,276.15
98,bengkulu,68,ID,1505346816,100,-3.8,102.27,1.41,298.895,298.895
99,new norfolk,75,AU,1505341800,52,-42.78,147.06,8.7,281.15,281.15
100,nome,90,US,1505343180,81,64.5,-165.41,8.7,281.15,281.15
101,cahors,90,FR,1505345400,88,44.45,1.44,2.1,290.15,290.15
102,mataura,24,IN,1505346190,96,27.5,77.68,1.36,296.095,296.095
103,airai,68,IN,1505346792,98,25.35,82.47,0.91,296.445,296.445
104,punta arenas,75,CL,1505343600,80,-53.15,-70.92,10.8,274.15,274.15
105,necochea,0,AR,1505347213,62,-38.55,-58.74,4.76,287.245,287.245
106,mys shmidta,0,UA,1505346491,88,47.75,38.03,4.06,290.545,290.545
107,atuona,0,PF,1505346066,100,-9.8,-139.03,4.96,299.095,299.095
108,saldanha,8,ZA,1505343600,81,-33.01,17.94,1.5,279.15,279.15
109,hobart,75,AU,1505341800,52,-42.88,147.33,8.7,281.15,281.15
110,callaway,1,US,1505343360,78,30.15,-85.57,2.6,299.85,300.15
111,butaritari,92,KI,1505346199,100,3.07,172.79,9.01,302.195,302.195
112,saint-philippe,90,RE,1505345400,56,-21.36,55.77,2.6,293.68,294.15
113,havoysund,75,NO,1505343000,81,71.0,24.66,6.2,281.15,281.15
114,puerto ayora,40,EC,1505343600,73,-0.74,-90.35,8.2,295.15,295.15
115,manzil salim,0,TN,1505343600,52,35.86,8.48,4.1,293.15,293.15
116,adre,76,TD,1505347318,87,13.47,22.2,1.61,295.545,295.545
117,quatre cocos,75,MU,1505343600,56,-20.21,57.76,3.1,296.15,296.15
118,lebu,92,CL,1505347318,100,-37.62,-73.65,8.56,284.045,284.045
119,sokolo,0,ML,1505347318,78,14.73,-6.12,1.36,297.245,297.245
120,ilulissat,75,GL,1505343000,99,69.22,-51.1,2.6,276.15,276.15
121,mountain home,1,US,1505343480,28,43.13,-115.69,1.66,302.75,303.15
122,nizhneyansk,0,RU,1505343600,59,55.64,51.82,8.0,289.15,289.15
